Indicator Category,Indicator,Year,Gender,Race/ Ethnicity,Value,Place
HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",2013,Both,All,30.4,"Atlanta (Fulton County), GA"
HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",2012,Both,All,39.6,"Atlanta (Fulton County), GA"
HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",2011,Both,All,41.7,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,195.8,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,135.5,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,159.3,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,199.2,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,137.6,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,160.3,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,196.2,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,147,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,165.2,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,208.3,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,202.7,"Atlanta (Fulton County), GA"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,White,4.5,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,216,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,128.8,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,133.7,"Atlanta (Fulton County), GA"
Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,132,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,578.4,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,692,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,847.2,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,710.1,"Atlanta (Fulton County), GA"
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,587.9,"Atlanta (Fulton County), GA"
