critic_reviews,duration,directorFb_likes,actor3Fb_likes,actor1Fb_likes,gross,movie_title,user_votes,cast_fb_likes,faceNumber_poster,user_reviews,budget,title_year,actor2Fb_likes,imdb_score,aspect_ratio,movieFb_likes
723,178,0,855,1000,760505847,Avatar ,886204,4834,0,3054,237000000,2009,936,7.9,1.78,33000
302,169,563,1000,40000,309404152,Pirates of the Caribbean: At World's End ,471220,48350,0,1238,300000000,2007,5000,7.1,2.35,0
813,164,22000,23000,27000,448130642,The Dark Knight Rises ,1144337,106759,0,2701,250000000,2012,23000,8.5,2.35,164000
462,132,475,530,640,73058679,John Carter ,212204,1873,1,738,263700000,2012,632,6.6,2.35,24000
392,156,0,4000,24000,336530303,Spider-Man 3 ,383056,46055,0,1902,258000000,2007,11000,6.2,2.35,0
324,100,15,284,799,200807262,Tangled ,294810,2036,1,387,260000000,2010,553,7.8,1.85,29000
635,141,0,19000,26000,458991599,Avengers: Age of Ultron ,462669,92000,4,1117,250000000,2015,21000,7.5,2.35,118000
673,183,0,2000,15000,330249062,Batman v Superman: Dawn of Justice ,371639,24450,0,3018,250000000,2016,4000,6.9,2.35,197000
434,169,0,903,18000,200069408,Superman Returns ,240396,29991,0,2367,209000000,2006,10000,6.1,2.35,0
313,151,563,1000,40000,423032628,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,2,1832,225000000,2006,5000,7.3,2.35,5000
450,150,563,1000,40000,89289910,The Lone Ranger ,181792,45757,1,711,215000000,2013,2000,6.5,2.35,48000
733,143,0,748,15000,291021565,Man of Steel ,548573,20495,0,2536,225000000,2013,3000,7.2,2.35,118000
258,150,80,201,22000,141614023,The Chronicles of Narnia: Prince Caspian ,149922,22697,4,438,225000000,2008,216,6.6,2.35,0
703,173,0,19000,26000,623279547,The Avengers ,995415,87697,3,1722,220000000,2012,21000,8.1,1.85,123000
448,136,252,1000,40000,241063875,Pirates of the Caribbean: On Stranger Tides ,370704,54083,4,484,250000000,2011,11000,6.7,2.35,58000
451,106,188,718,10000,179020854,Men in Black 3 ,268154,12572,1,341,225000000,2012,816,6.8,1.85,40000
599,153,464,963,15000,262030663,The Amazing Spider-Man ,451803,28489,0,1225,230000000,2012,10000,7,2.35,56000
343,156,0,738,891,105219735,Robin Hood ,211765,3244,0,546,200000000,2010,882,6.7,2.35,17000
509,186,0,773,5000,258355354,The Hobbit: The Desolation of Smaug ,483540,9152,6,951,225000000,2013,972,7.9,2.35,83000
251,113,129,1000,16000,70083519,The Golden Compass ,149019,24106,2,666,180000000,2007,6000,6.1,2.35,0
315,194,0,794,29000,658672302,Titanic ,793059,45223,0,2528,200000000,1997,14000,7.7,2.35,26000
516,147,94,11000,21000,407197282,Captain America: Civil War ,272670,64798,0,1022,250000000,2016,19000,8.2,2.35,72000
377,131,532,627,14000,65173160,Battleship ,202382,26679,0,751,209000000,2012,10000,5.9,2.35,44000
644,124,365,1000,3000,652177271,Jurassic World ,418214,8458,0,1290,150000000,2015,2000,7,2,150000
300,135,0,4000,24000,373377893,Spider-Man 2 ,411164,43388,1,1303,200000000,2004,11000,7.3,2.35,0
608,195,1000,3000,21000,408992272,Iron Man 3 ,557489,30426,3,1187,200000000,2013,4000,7.2,2.35,95000
451,108,13000,11000,40000,334185206,Alice in Wonderland ,306320,79957,0,736,200000000,2010,25000,6.5,1.85,24000
376,104,37,760,12000,268488329,Monsters University ,235025,14863,0,265,200000000,2013,779,7.3,1.85,44000
366,150,0,464,894,402076689,Transformers: Revenge of the Fallen ,323207,3218,0,1439,200000000,2009,581,6,2.35,0
378,165,0,808,974,245428137,Transformers: Age of Extinction ,242420,3988,2,918,210000000,2014,956,5.7,2.35,56000
525,130,0,11000,44000,234903076,Oz the Great and Powerful ,175409,73441,4,511,215000000,2013,15000,6.4,2.35,60000
495,142,464,825,15000,202853933,The Amazing Spider-Man 2 ,321227,28631,0,1067,200000000,2014,10000,6.7,2.35,41000
61,124,212,810,1000,11000000,Cutthroat Island ,21102,3611,3,169,98000000,1995,903,5.6,2.35,1000
175,98,188,602,10000,250147615,Men in Black ,403014,12998,0,289,90000000,1997,826,7.3,1.85,0
191,82,487,967,15000,245823397,Toy Story 2 ,385871,21275,2,515,90000000,1999,1000,7.9,1.85,0
316,98,12000,1000,18000,81557479,Unstoppable ,149947,25780,1,326,100000000,2010,3000,6.8,2.35,18000
127,90,420,141,191,226138454,Rush Hour 2 ,160440,664,2,394,90000000,2001,165,6.6,2.35,0
185,130,0,568,11000,155370362,What Lies Beneath ,98403,12890,0,683,100000000,2000,627,6.6,2.35,0
191,90,97,56,622,124870275,Cloudy with a Chance of Meatballs ,152601,1227,1,156,100000000,2009,526,7,2.35,0
188,94,107,117,835,196573705,Ice Age: Dawn of the Dinosaurs ,166791,1258,0,132,90000000,2009,256,7,1.85,0
362,114,0,423,3000,58229120,The Secret Life of Walter Mitty ,236421,5095,1,515,90000000,2013,806,7.3,2.35,70000
181,94,368,466,13000,125305545,Charlie's Angels ,145350,15419,0,643,92000000,2000,1000,5.5,2.35,0
352,151,17000,1000,29000,132373442,The Departed ,873649,45648,0,2054,90000000,2006,13000,8.5,2.35,29000
143,88,7,484,2000,120618403,Mulan ,171792,4478,0,222,90000000,1998,500,7.5,1.66,12000
308,121,0,918,21000,110416702,Tropic Thunder ,307539,23484,3,577,92000000,2008,1000,7,2.35,0
517,158,21000,585,18000,102515793,The Girl with the Dragon Tattoo ,330152,20388,1,632,90000000,2011,1000,7.8,2.35,54000
148,128,323,489,13000,100012500,Die Hard with a Vengeance ,299258,14274,1,346,90000000,1995,559,7.6,2.35,0
415,128,0,727,21000,209019489,Sherlock Holmes ,477300,23996,3,621,90000000,2009,979,7.6,1.85,20000
146,95,21,503,12000,84037039,Atlantis: The Lost Empire ,72591,15237,0,289,120000000,2001,802,6.8,2.35,0
70,92,12,1000,35000,85884815,Alvin and the Chipmunks: The Road Chip ,9418,38450,0,53,90000000,2015,1000,5,1.85,0
269,121,0,919,10000,83077470,Valkyrie ,183247,14165,0,440,75000000,2008,1000,7.1,1.85,0
198,113,221,503,11000,100018837,You Don't Mess with the Zohan ,156348,13446,0,380,90000000,2008,600,5.5,1.85,0
253,106,0,1000,22000,78747585,Pixels ,89770,35367,0,342,88000000,2015,11000,5.6,2.35,39000
281,146,14000,681,3000,78616689,A.I. Artificial Intelligence ,238747,6217,0,2153,100000000,2001,882,7.1,1.85,11000
122,88,50,441,691,75817994,The Haunted Mansion ,32049,2622,0,179,90000000,2003,569,4.9,2.35,988
159,150,0,135,11000,100853835,Contact ,200556,12289,2,611,90000000,1997,1000,7.4,2.35,15000
180,119,719,423,833,73209340,Hollow Man ,101834,2356,0,628,95000000,2000,624,5.7,1.85,0
183,106,87,918,8000,68558662,Percy Jackson: Sea of Monsters ,86627,10882,0,204,90000000,2013,956,5.9,2.35,28000
157,117,101,3000,18000,65653758,Lara Croft Tomb Raider: The Cradle of Life ,102747,33154,1,316,95000000,2003,11000,5.5,2.35,0
196,129,209,886,11000,64685359,Now You See Me 2 ,40862,23031,6,139,90000000,2016,11000,6.9,2.35,15000
