budget,original_title,popularity,revenue,runtime,status,vote_average,vote_count
30000000,Toy Story,21.946943,373554033,81,Released,7.7,5415
65000000,Jumanji,17.015539,262797249,104,Released,6.9,2413
0,Grumpier Old Men,11.7129,0,101,Released,6.5,92
16000000,Waiting to Exhale,3.859495,81452156,127,Released,6.1,34
0,Father of the Bride Part II,8.387519,76578911,106,Released,5.7,173
60000000,Heat,17.924927,187436818,170,Released,7.7,1886
58000000,Sabrina,6.677277,0,127,Released,6.2,141
0,Tom and Huck,2.561161,0,97,Released,5.4,45
35000000,Sudden Death,5.23158,64350171,106,Released,5.5,174
58000000,GoldenEye,14.686036,352194034,130,Released,6.6,1194
62000000,The American President,6.318445,107879496,106,Released,6.5,199
0,Dracula: Dead and Loving It,5.430331,0,88,Released,5.7,210
0,Balto,12.140733,11348324,78,Released,7.1,423
44000000,Nixon,5.092,13681765,192,Released,7.1,72
98000000,Cutthroat Island,7.284477,10017322,119,Released,5.7,137
52000000,Casino,10.137389,116112375,178,Released,7.8,1343
16500000,Sense and Sensibility,10.673167,135000000,136,Released,7.2,364
4000000,Four Rooms,9.026586,4300000,98,Released,6.5,539
30000000,Ace Ventura: When Nature Calls,8.205448,212385533,90,Released,6.1,1128
60000000,Money Train,7.337906,35431113,103,Released,5.4,224
30250000,Get Shorty,12.669608,115101622,105,Released,6.4,305
0,Copycat,10.701801,0,124,Released,6.5,199
50000000,Assassins,11.065939,30303072,132,Released,6,394
0,Powder,12.133094,0,111,Released,6.3,143
3600000,Leaving Las Vegas,10.332025,49800000,112,Released,7.1,365
0,Othello,1.845899,0,123,Released,7,33
12000000,Now and Then,8.681325,27400000,100,Released,6.6,91
0,Persuasion,2.228434,0,104,Released,7.4,36
18000000,La Cité des Enfants Perdus,9.822423,1738611,108,Released,7.6,308
0,摇啊摇，摇到外婆桥,1.100915,0,108,Released,6.5,17
0,Dangerous Minds,9.481338,180000000,99,Released,6.4,249
29500000,Twelve Monkeys,12.297305,168840000,129,Released,7.4,2470
0,"Guillaumet, les ailes du courage",0.745542,0,50,Released,6.8,4
30000000,Babe,14.404764,254134910,89,Released,6,756
0,Carrington,1.493361,0,121,Released,6.4,16
11000000,Dead Man Walking,6.891317,39363635,122,Released,7.3,350
0,Across the Sea of Time,0.114469,0,51,Released,3.5,2
0,It Takes Two,7.777735,0,101,Released,6.1,149
12000000,Clueless,9.882383,0,97,Released,6.9,828
0,"Cry, the Beloved Country",0.894647,676525,106,Released,6.7,13
0,Richard III,4.561387,0,104,Released,6.9,50
10000000,Dead Presidents,9.87957,0,119,Released,6.6,80
19000000,Restoration,10.979269,0,117,Released,6.3,30
18000000,Mortal Kombat,10.870138,122195920,101,Released,5.4,452
20000000,To Die For,10.448481,21284514,106,Released,6.7,177
10000000,How To Make An American Quilt,4.485958,23574130,116,Released,6.5,38
33000000,Se7en,18.45743,327311859,127,Released,8.1,5915
55000000,Pocahontas,13.280069,346079773,81,Released,6.7,1509
0,When Night Is Falling,3.302524,0,96,Released,5.9,10
6000000,The Usual Suspects,16.302466,23341568,106,Released,8.1,3334
0,Guardian Angel,0.595949,0,93,Released,6.3,3
15000000,Mighty Aphrodite,15.899134,6700000,95,Released,6.7,145
0,Lamerica,1.361286,0,116,Released,7.7,11
0,The Big Green,5.982764,0,100,Released,5.2,41
0,Georgia,4.093443,0,115,Released,6.1,15
0,Kids of the Round Table,0.307075,0,89,Released,3,1
0,Home for the Holidays,8.416802,17519169,103,Released,6.3,39
0,Il postino,10.168437,0,108,Released,7.6,181
0,Le confessionnal,0.120789,0,100,Released,6.5,2
45000000,The Indian in the Cupboard,10.673296,0,96,Released,5.9,136
20000000,Eye for an Eye,4.733526,0,101,Released,5.8,65
0,Mr. Holland's Opus,7.137117,106269971,137,Released,6.9,115
0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,0,89,Released,6.2,192
0,Two If by Sea,2.174487,0,96,Released,4.5,14
15000000,Bio-Dome,6.387469,0,88,Released,4.4,110
0,Lawnmower Man 2: Beyond Cyberspace,2.49535,2409225,92,Released,2.8,32
0,Two Bits,4.046208,0,85,Released,5.4,11
0,Gazon maudit,2.518051,0,95,Released,6,43
3500000,Friday,14.56965,28215918,91,Released,7,513
19000000,From Dusk Till Dawn,15.339153,25836616,108,Released,6.9,1644
50000000,Fair Game,5.912223,11534477,91,Released,4.1,54
0,Kicking and Screaming,3.367276,718490,96,Released,7,36
0,Les misérables,1.479446,0,175,Released,6.6,8
0,Bed of Roses,10.412194,19030691,87,Released,5.1,27
15000000,Big Bully,2.936443,2042530,90,Released,3.9,16
20000000,Screamers,12.758848,5781885,108,Released,6.1,154
0,Nico Icon,0.133893,0,70,Released,7.3,3
0,The Crossing Guard,5.756462,0,111,Released,6.1,74
44000000,The Juror,6.010579,0,118,Released,5.5,91
0,بادکنک سفید,1.196256,0,85,Released,7.5,20
8000000,Things to Do in Denver When You're Dead,4.486179,529766,116,Released,6.7,87
900000,Antonia,2.030174,0,102,Released,7.2,26
0,Once Upon a Time... When We Were Colored,0.252287,0,115,Released,4.5,2
0,Last Summer in the Hamptons,0.531159,0,108,Released,0,0
0,Angels and Insects,2.15166,0,118,Released,6.3,17
38000000,White Squall,9.568604,10300000,129,Released,6.3,86
16000000,Dunston Checks In,4.814825,0,88,Released,5.1,59
0,Black Sheep,8.963037,32,87,Released,6,124
8169363,Nick of Time,6.848591,8175346,90,Released,6.1,190
0,The Journey of August King,0.411424,0,91,Released,6.7,3
47000000,Mary Reilly,12.866139,12379402,104,Released,5.7,77
14000000,Vampire in Brooklyn,9.071127,19800000,100,Released,4.5,113
0,Beautiful Girls,4.670562,0,112,Released,6.6,103
50000000,Broken Arrow,14.957626,150270147,108,Released,5.7,459
0,A Midwinter's Tale,0.513391,0,99,Released,7.5,6
3000000,La Haine,12.108196,0,98,Released,7.9,695
0,Shopping,2.657647,0,105,Released,5.6,13
0,Heidi Fleiss: Hollywood Madam,0.638211,0,106,Released,6.8,4
0,City Hall,4.807223,0,111,Released,6,67
7000000,Bottle Rocket,6.904831,560069,91,Released,6.8,285
