Player,Number_seasons,Games_played,At_bats,Runs,Hits,Doubles,Triples,Home_runs,RBIs,Walks,Strikeouts,Batting_average,On_base_pct,Slugging_pct,Fielding_ave,Position
RICK_MANNING,13,1555,5248,664,1349,189,43,56,458,471,616,0.257,0.319,0.341,0.985,Outfield
SAM_THOMPSON,15,1407,5984,1256,1979,340,160,127,1299,450,226,0.331,0.384,0.505,0.935,Outfield
ROY_CULLENBINE,10,1181,3879,627,1072,209,32,110,599,853,399,0.276,0.408,0.432,0.969,Outfield
BILL_MADLOCK,15,1806,6594,920,2008,348,34,163,860,605,510,0.305,0.369,0.442,0.948,Third_base
JERRY_DENNY,13,1237,4946,714,1286,238,76,74,667,173,602,0.26,0.287,0.384,0.882,Third_base
MERV_SHEA,11,439,1197,105,263,39,7,5,115,189,145,0.22,0.327,0.277,0.976,Catcher
BOB_BESCHER,11,1228,4536,749,1171,190,74,28,345,619,451,0.258,0.353,0.351,0.96,Outfield
GIL_COAN,11,918,2877,384,731,98,44,39,278,232,384,0.254,0.316,0.359,0.973,Outfield
ROY_McMILLAN,16,2093,6752,739,1639,253,35,68,594,665,711,0.243,0.316,0.321,0.972,Shortstop
BOB_CARUTHERS,10,705,2465,508,694,104,50,29,213,417,79,0.282,0.391,0.4,0.875,Outfield
GRANNY_HAMNER,17,1531,5839,711,1529,272,62,104,708,351,432,0.262,0.304,0.383,0.946,Shortstop
ANDRE_RODGERS,11,854,2521,268,628,112,23,45,245,290,507,0.249,0.331,0.365,0.956,Shortstop
AL_OLIVER,18,2368,9049,1189,2743,529,77,219,1326,535,756,0.303,0.348,0.451,0.98,Outfield
CARNEY_LANSFORD,15,1862,7158,1007,2074,332,40,151,874,553,719,0.29,0.346,0.411,0.966,Third_base
RICK_MILLER,15,1482,3887,552,1046,161,35,28,369,454,583,0.269,0.348,0.35,0.986,Outfield
GARY_ROENICKE,12,1064,2708,367,670,135,4,121,410,406,428,0.247,0.354,0.434,0.988,Outfield
GARY_PETTIS,11,1183,3629,568,855,109,49,21,259,521,958,0.236,0.333,0.31,0.986,Outfield
BOB_BARTON,10,393,1049,54,237,31,3,9,66,87,168,0.226,0.288,0.287,0.987,Catcher
GENE_WOODLING,17,1796,5587,830,1585,257,63,147,830,921,479,0.284,0.388,0.431,0.989,Outfield
CHARLIE_SILVERA,10,227,482,34,136,15,2,1,52,53,32,0.282,0.356,0.328,0.985,Catcher
TOMMY_GRIFFITH,13,1401,4947,589,1383,208,72,52,619,351,262,0.28,0.328,0.382,0.956,Outfield
HANK_DeBERRY,11,648,1850,170,494,81,16,11,234,148,119,0.267,0.323,0.346,0.982,Catcher
LEE_MAYE,13,1288,4048,533,1109,190,39,94,419,282,481,0.274,0.324,0.41,0.97,Outfield
WILLIE_McCOVEY,22,2588,8197,1229,2211,353,46,521,1555,1345,1550,0.27,0.377,0.515,0.987,First_base
JOE_COLLINS,10,908,2329,404,596,79,24,86,329,338,263,0.256,0.351,0.421,0.99,First_base
BILL_WHITE,13,1673,5972,843,1706,278,65,202,870,596,927,0.286,0.353,0.455,0.992,First_base
DAN_MEYER,12,1118,3734,411,944,153,31,86,459,219,277,0.253,0.296,0.379,0.991,First_base
PHIL_CAVARRETTA,22,2030,6754,990,1977,347,99,95,920,820,598,0.293,0.372,0.416,0.99,First_base
CUPID_CHILDS,13,1456,5618,1214,1720,205,100,20,654,991,117,0.306,0.416,0.389,0.93,Second_base
GEORGE_STRICKLAND,10,971,2824,305,633,84,27,36,284,361,453,0.224,0.314,0.311,0.963,Shortstop
BUDDY_ROSAR,13,988,3198,335,836,147,15,18,367,315,161,0.261,0.33,0.334,0.992,Catcher
MILLER_HUGGINS,13,1586,5558,948,1474,146,50,9,318,1003,312,0.265,0.381,0.314,0.956,Second_base
KING_KELLY,16,1455,5894,1357,1813,359,102,69,950,549,417,0.308,0.368,0.438,0.82,Outfield
TOM_HUTTON,12,952,1655,196,410,63,7,22,186,234,140,0.248,0.341,0.334,0.995,First_base
BILLY_NORTH,11,1169,3900,640,1016,120,31,20,230,627,665,0.261,0.366,0.323,0.981,Outfield
VERN_STEPHENS,15,1720,6497,1001,1859,307,42,247,1174,692,685,0.286,0.355,0.46,0.96,Shortstop
LARRY_MILBOURNE,11,989,2448,290,623,71,24,11,184,133,176,0.254,0.295,0.317,0.974,Second_base
